epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,191,,,,,,,,,,,,,,,,,,,,,,,,,,,3.182874917984009,3.140782594680786,2.6137290000915527,3.12532639503479,3.922614097595215,0.08726882934570312,0.06766682863235474,0.08681736886501312,0.1160084530711174,6.533740997314453,5.189932823181152,6.4682135581970215,8.12805461883545
0,191,,,,,,,,,,,,,,4.108044624328613,4.10734224319458,3.473668336868286,4.151930809020996,4.994214057922363,0.11393346637487411,0.09257720410823822,0.11399728059768677,0.14603570103645325,7.705843925476074,6.32089900970459,7.694631099700928,9.389484405517578,,,,,,,,,,,,,
1,383,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1378324031829834,3.095961093902588,2.5994324684143066,3.073798894882202,3.8470985889434814,0.08394205570220947,0.06541959941387177,0.08290291577577591,0.11197008192539215,6.532919883728027,5.192320823669434,6.472063064575195,8.114763259887695
1,383,,,,,,,,,,,,,,3.7302849292755127,3.7300050258636475,3.095984697341919,3.7267777919769287,4.6649322509765625,0.1040819063782692,0.08107241988182068,0.10335610061883926,0.1384810358285904,7.320296764373779,5.836982727050781,7.284029006958008,9.056527137756348,,,,,,,,,,,,,
2,575,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0901336669921875,3.049229860305786,2.5552051067352295,3.030824899673462,3.7940218448638916,0.08320121467113495,0.06481552124023438,0.08249282836914062,0.11037983745336533,6.393665313720703,5.080061435699463,6.324127674102783,7.9603776931762695
2,575,,,,,,,,,,,,,,3.6706502437591553,3.670623302459717,3.0454554557800293,3.665104389190674,4.59036922454834,0.10271845012903214,0.07947541773319244,0.10187748074531555,0.13729587197303772,7.228479862213135,5.768017292022705,7.1866230964660645,8.943981170654297,,,,,,,,,,,,,
3,767,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0596840381622314,3.0160796642303467,2.535090446472168,3.0031514167785645,3.737882137298584,0.08361861109733582,0.06390397995710373,0.0823897048830986,0.11275088787078857,6.319514751434326,5.064517498016357,6.263585567474365,7.823809623718262
3,767,,,,,,,,,,,,,,3.6362392902374268,3.636561632156372,3.0180742740631104,3.629699468612671,4.547248840332031,0.10185908526182175,0.07868391275405884,0.10108613967895508,0.1361752152442932,7.179068565368652,5.72220516204834,7.128177165985107,8.895710945129395,,,,,,,,,,,,,
4,959,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07942795753479,3.0383923053741455,2.572187900543213,3.0263824462890625,3.754643201828003,0.08245421946048737,0.06441371142864227,0.08163262158632278,0.10994257032871246,6.29214334487915,5.019045829772949,6.224754810333252,7.813852787017822
4,959,,,,,,,,,,,,,,3.6131718158721924,3.6127586364746094,3.0012426376342773,3.605451822280884,4.5143537521362305,0.10115648806095123,0.07814932614564896,0.10038594901561737,0.1351877599954605,7.1420135498046875,5.689007759094238,7.0871171951293945,8.85428524017334,,,,,,,,,,,,,
