model,dataset,method,n_trials,mean_val_mae,std_val_mae,median_val_mae,iqr_val_mae,best_val_mae,trial_at_best,mean_trial_duration_sec,std_trial_duration_sec,total_elapsed_sec,file
agcrn,electricity,BODE,20,200.51825790405275,15.94480702151823,199.01976776123047,27.499290466308565,179.7325439453125,9.0,1225.5775985240937,866.0483137022109,20973.55297470093,agcrn_electricity_BODE__20260908.xlsx
agcrn,electricity,RS,20,204.2538185119629,17.474451078314107,204.19312286376953,27.768028259277372,179.2810974121094,9.0,962.3026568770408,706.9220475038971,19247.01089954376,agcrn_electricity_RS_20260909.xlsx
agcrn,metrla,BODE,25,2.699246587753296,0.059789546220876684,2.677187204360962,0.01980972290039107,2.65533709526062,2.0,1097.381432542801,813.9154094499887,27441.0937974453,agcrn_metrla_BODE_20260821.xlsx
agcrn,metrla,RS,25,2.7951259803771973,0.12733314487929426,2.733985662460327,0.20305085182189897,2.648878574371338,8.0,1073.5605922698974,900.6443425610628,26840.46286606789,agcrn_metrla_RS_20260819.xlsx
agcrn,pemsbay,BODE,20,1.6474224984645844,0.08837506637857827,1.6056805849075322,0.03769612312316872,1.592824220657349,11.0,1853.7679017066955,1037.4342001539558,37081.02042365074,agcrn_pemsbay_BODE__20260907.xlsx
agcrn,pemsbay,RS,22,1.744731341089521,0.1385441190194776,1.740617156028748,0.1953742504119882,1.592344045639038,8.0,1665.1923416018485,1207.8918138579277,17508.01649546623,agcrn_pemsbay_RS_20260820.xlsx
graphwavenet,electricity,BODE,20,233.8541687011719,26.43373808546087,244.3252182006836,54.111465454101506,196.9947509765625,7.0,920.5342950701713,482.4525552219162,18415.26289534569,graphwavenet_electricity_BODE__20260906.xlsx
graphwavenet,electricity,RS,20,243.07995071411133,31.903032217307583,234.2411346435547,50.30706787109375,197.4273986816406,19.0,786.7502453207969,455.42371235083067,15736.31643128395,graphwavenet_electricity_RS_20260908.xlsx
graphwavenet,metrla,BODE,25,2.64745903968811,0.073944285443347,2.612879753112793,0.06604409217834517,2.583797693252563,24.0,983.1385293579101,384.32490758028996,24585.11071634293,graphwavenet_metrla_BODE_20260820.xlsx
graphwavenet,metrla,RS,25,2.7609270572662354,0.14230862185536647,2.72114634513855,0.24789118766784712,2.579255342483521,23.0,699.5650198078156,385.9580558427685,12560.44241690636,graphwavenet_metrla_RS_20260819.xlsx
graphwavenet,pemsbay,BODE,20,1.6522384345531465,0.08281636045412985,1.6229364275932314,0.1131826043128965,1.573382139205933,17.0,2138.9844061613085,792.2875215594917,42785.241345644,graphwavenet_pemsbay_BODE_20260826.xlsx
graphwavenet,pemsbay,RS,20,1.7663743019104003,0.137523913689008,1.7207296490669255,0.18232721090316772,1.579013228416443,6.0,1353.9885317206383,746.3973248991946,27080.32887911797,graphwavenet_pemsbay_RS_20260820.xlsx
stgcn,electricity,BODE,20,240.213777923584,26.026278001930912,231.63963317871094,39.231884002685604,210.6108245849609,18.0,766.6710010170937,346.8059702948886,15339.35915493965,stgcn_electricity_BODE__20260907.xlsx
stgcn,electricity,RS,20,281.71415252685546,29.78933154374318,272.29925537109375,41.137832641601506,240.5760803222656,3.0,442.3708321690559,207.7512711432912,8848.314539670944,stgcn_electricity_RS_20260908.xlsx
stgcn,metrla,BODE,25,2.7876020812988282,0.13816175887857296,2.709306001663208,0.224265336990356,2.669647693634033,13.0,869.3016252422333,393.11522215686597,21741.11993765831,stgcn_metrla_BODE_20260823.xlsx
stgcn,metrla,RS,25,2.9997407245635985,0.09202678767101631,2.997155904769897,0.1368458271026607,2.828940391540527,3.0,371.39394214630124,191.91135155176525,9285.903536558151,stgcn_metrla_RS_20260819.xlsx
stgcn,pemsbay,BODE,20,1.8758489966392518,0.12177909438220026,1.8241564631462095,0.1753710806369777,1.764877557754517,19.0,933.6310758471488,297.78898375223685,10583.98703479767,stgcn_pemsbay_BODE__20260830.xlsx
stgcn,pemsbay,RS,20,2.0102332890033723,0.07162208355184758,1.992140591144562,0.09972009062767029,1.891153931617737,3.0,693.8265424847602,324.43715395446213,13877.42634773254,stgcn_pemsbay_RS_20260819.xlsx
